sc_time,sc_routekey,sc_stopkey
9:34 AM,3,26
9:41 AM,3,27
9:48 AM,3,28
9:50 AM,3,29
9:54 AM,3,30
9:57 AM,3,31
10:00 AM,3,7
10:26 AM,3,1
10:33 AM,3,33
10:37 AM,3,34
10:42 AM,3,24
10:45 AM,3,25
10:47 AM,3,26
10:54 AM,3,27
11:01 AM,3,28
11:03 AM,3,29
11:07 AM,3,30
11:10 AM,3,31
11:13 AM,3,7
11:24 AM,3,1
11:31 AM,3,33
11:35 AM,3,34
11:40 AM,3,24
11:43 AM,3,25
11:45 AM,3,26
11:52 AM,3,27
11:59 AM,3,28
12:01 PM,3,29
12:05 PM,3,30
12:08 PM,3,31
12:11 PM,3,7
12:37 PM,3,1
12:44 PM,3,33
12:48 PM,3,34
12:53 PM,3,24
12:56 PM,3,25
12:58 PM,3,26
1:05 PM,3,27
1:12 PM,3,28
1:14 PM,3,29
1:18 PM,3,30
1:21 PM,3,31
1:24 PM,3,7
1:35 PM,3,1
1:42 PM,3,33
1:46 PM,3,34
1:51 PM,3,24
1:54 PM,3,25
1:56 PM,3,26
2:03 PM,3,27
2:13 PM,3,28
2:15 PM,3,29
2:19 PM,3,30
2:22 PM,3,31
2:25 PM,3,7
2:36 PM,3,1
2:43 PM,3,33
2:47 PM,3,34
2:52 PM,3,24
2:55 PM,3,25
2:57 PM,3,26
3:04 PM,3,27
3:11 PM,3,28
3:13 PM,3,29
3:17 PM,3,30
3:20 PM,3,31
3:23 PM,3,7
3:34 PM,3,1
3:41 PM,3,33
3:45 PM,3,34
3:50 PM,3,24
3:53 PM,3,25
3:55 PM,3,26
4:02 PM,3,27
4:09 PM,3,28
4:11 PM,3,29
4:15 PM,3,30
4:18 PM,3,31
4:21 PM,3,7
4:47 PM,3,1
4:54 PM,3,33
4:58 PM,3,34
5:03 PM,3,24
5:06 PM,3,25
5:08 PM,3,26
5:15 PM,3,27
5:22 PM,3,28
5:24 PM,3,29
5:28 PM,3,30
5:31 PM,3,31
5:34 PM,3,7
5:45 PM,3,1
5:52 PM,3,33
5:56 PM,3,34
6:01 PM,3,24
6:04 PM,3,25
6:06 PM,3,26
6:13 PM,3,27
6:20 PM,3,28
6:22 PM,3,29
6:26 PM,3,30
6:29 PM,3,31
6:32 PM,3,7
6:58 PM,3,1
7:05 PM,3,33
7:09 PM,3,34
7:14 PM,3,24
7:17 PM,3,25
7:19 PM,3,26
7:26 PM,3,27
7:33 PM,3,28
7:35 PM,3,29
7:39 PM,3,30
7:42 PM,3,31
7:45 PM,3,7
7:56 PM,3,1
8:03 PM,3,33
8:07 PM,3,34
8:12 PM,3,24
8:15 PM,3,25
8:17 PM,3,26
8:24 PM,3,27
8:31 PM,3,28
8:33 PM,3,29
8:37 PM,3,30
8:40 PM,3,31
8:43 PM,3,7
9:09 PM,3,1
9:16 PM,3,33
9:20 PM,3,34
9:25 PM,3,24
9:28 PM,3,25
9:30 PM,3,26
9:37 PM,3,27
9:44 PM,3,28
9:46 PM,3,29
9:50 PM,3,30
9:53 PM,3,31
9:56 PM,3,7
10:07 PM,3,1
REQ,3,33
REQ,3,34
REQ,3,24
REQ,3,25
REQ,3,26
REQ,3,27
REQ,3,28
REQ,3,29
REQ,3,30
REQ,3,31
REQ,3,7
8:30 AM,4,1
8:39 AM,4,35
8:46 AM,4,36
8:48 AM,4,37
9:01 AM,4,38
9:03 AM,4,39
9:07 AM,4,40
9:14 AM,4,4
9:18 AM,4,42
9:42 AM,4,1
9:51 AM,4,35
9:58 AM,4,36
10:00 AM,4,37
10:13 AM,4,38
10:15 AM,4,39
10:19 AM,4,40
10:26 AM,4,4
10:30 AM,4,42
10:39 AM,4,1
10:48 AM,4,35
10:55 AM,4,36
10:57 AM,4,37
11:10 AM,4,38
11:12 AM,4,39
11:16 AM,4,40
11:23 AM,4,4
11:27 AM,4,42
11:51 AM,4,1
12:00 PM,4,35
12:07 PM,4,36
12:09 PM,4,37
12:22 PM,4,38
12:24 PM,4,39
12:28 PM,4,40
12:35 PM,4,4
12:39 PM,4,42
12:48 PM,4,1
12:57 PM,4,35
1:04 PM,4,36
1:06 PM,4,37
1:19 PM,4,38
1:21 PM,4,39
1:25 PM,4,40
1:32 PM,4,4
1:36 PM,4,42
2:00 PM,4,1
2:09 PM,4,35
2:16 PM,4,36
2:18 PM,4,37
2:31 PM,4,38
2:33 PM,4,39
2:37 PM,4,40
2:44 PM,4,4
2:48 PM,4,42
2:57 PM,4,1
3:06 PM,4,35
3:13 PM,4,36
3:15 PM,4,37
3:28 PM,4,38
3:30 PM,4,39
3:34 PM,4,40
3:41 PM,4,4
3:45 PM,4,42
3:54 PM,4,1
4:03 PM,4,35
4:10 PM,4,36
4:15 PM,4,37
4:28 PM,4,38
4:30 PM,4,39
4:34 PM,4,40
4:41 PM,4,4
4:45 PM,4,42
4:54 PM,4,1
5:03 PM,4,35
5:10 PM,4,36
5:12 PM,4,37
5:25 PM,4,38
5:27 PM,4,39
5:31 PM,4,40
5:38 PM,4,4
5:42 PM,4,42
6:06 PM,4,1
6:15 PM,4,35
6:22 PM,4,36
6:24 PM,4,37
6:37 PM,4,38
6:39 PM,4,39
6:43 PM,4,40
6:50 PM,4,4
6:54 PM,4,42
7:03 PM,4,1
7:12 PM,4,35
7:19 PM,4,36
7:21 PM,4,37
7:34 PM,4,38
7:36 PM,4,39
7:40 PM,4,40
7:47 PM,4,4
7:51 PM,4,42
8:00 PM,4,1
8:09 PM,4,35
8:16 PM,4,36
8:18 PM,4,37
8:31 PM,4,38
8:33 PM,4,39
8:37 PM,4,40
8:44 PM,4,4
8:48 PM,4,42
9:12 PM,4,1
9:21 PM,4,35
9:28 PM,4,36
9:30 PM,4,37
9:43 PM,4,38
9:45 PM,4,39
9:49 PM,4,40
9:56 PM,4,4
10:00 PM,4,42
10:09 PM,4,1
10:18 PM,4,35
10:25 PM,4,36
10:27 PM,4,37
10:40 PM,4,38
10:42 PM,4,39
10:46 PM,4,40
10:53 PM,4,4
10:57 PM,4,42
11:06 PM,4,1
11:05 AM,5,1
11:14 AM,5,16
11:20 AM,5,44
11:23 AM,5,45
11:25 AM,5,46
11:31 AM,5,47
11:33 AM,5,48
11:37 AM,5,49
11:43 AM,5,50
11:46 AM,5,51
12:09 PM,5,1
12:18 PM,5,16
12:24 PM,5,44
12:27 PM,5,45
12:29 PM,5,46
12:35 PM,5,47
12:37 PM,5,48
12:41 PM,5,49
12:47 PM,5,50
12:50 PM,5,51
12:58 PM,5,1
1:07 PM,5,16
1:13 PM,5,44
1:16 PM,5,45
1:18 PM,5,46
1:24 PM,5,47
1:26 PM,5,48
1:30 PM,5,49
1:36 PM,5,50
1:39 PM,5,51
1:47 PM,5,1
1:56 PM,5,16
2:02 PM,5,44
2:05 PM,5,45
2:07 PM,5,46
2:13 PM,5,47
2:15 PM,5,48
2:19 PM,5,49
2:25 PM,5,50
2:28 PM,5,51
2:36 PM,5,1
2:45 PM,5,16
2:51 PM,5,44
2:54 PM,5,45
2:56 PM,5,46
3:02 PM,5,47
3:04 PM,5,48
3:08 PM,5,49
3:14 PM,5,50
3:17 PM,5,51
3:40 PM,5,1
3:49 PM,5,16
3:55 PM,5,44
3:58 PM,5,45
4:00 PM,5,46
4:06 PM,5,47
4:08 PM,5,48
4:12 PM,5,49
4:18 PM,5,50
4:21 PM,5,51
4:29 PM,5,1
4:38 PM,5,16
4:44 PM,5,44
4:47 PM,5,45
4:49 PM,5,46
4:55 PM,5,47
4:57 PM,5,48
5:01 PM,5,49
5:07 PM,5,50
5:10 PM,5,51
5:18 PM,5,1
5:27 PM,5,16
5:36 PM,5,44
5:39 PM,5,45
5:41 PM,5,46
5:47 PM,5,47
5:49 PM,5,48
5:53 PM,5,49
5:59 PM,5,50
6:02 PM,5,51
6:25 PM,5,1
6:34 PM,5,16
6:40 PM,5,44
6:43 PM,5,45
6:45 PM,5,46
6:51 PM,5,47
6:53 PM,5,48
6:57 PM,5,49
7:03 PM,5,50
7:06 PM,5,51
7:14 PM,5,1
7:23 PM,5,16
7:29 PM,5,44
7:32 PM,5,45
7:34 PM,5,46
7:40 PM,5,47
7:42 PM,5,48
7:46 PM,5,49
7:52 PM,5,50
7:55 PM,5,51
8:18 PM,5,1
8:27 PM,5,16
8:33 PM,5,44
8:36 PM,5,45
8:38 PM,5,46
8:44 PM,5,47
8:46 PM,5,48
8:50 PM,5,49
8:56 PM,5,50
8:59 PM,5,51
9:07 PM,5,1
9:16 PM,5,16
9:22 PM,5,44
9:25 PM,5,45
9:27 PM,5,46
9:33 PM,5,47
9:35 PM,5,48
9:39 PM,5,49
9:45 PM,5,50
9:48 PM,5,51
9:56 PM,5,1
6:35 AM,6,52
6:39 AM,6,16
6:42 AM,6,54
6:44 AM,6,6
6:48 AM,6,56
6:52 AM,6,7
7:03 AM,6,1
7:13 AM,6,6
7:16 AM,6,59
7:19 AM,6,52
7:22 AM,6,61
7:30 AM,6,1
7:39 AM,6,52
7:43 AM,6,16
7:46 AM,6,54
7:48 AM,6,6
7:52 AM,6,56
7:56 AM,6,7
8:22 AM,6,1
8:32 AM,6,6
8:35 AM,6,59
8:38 AM,6,52
8:41 AM,6,61
8:49 AM,6,1
8:58 AM,6,52
9:02 AM,6,16
9:05 AM,6,54
9:07 AM,6,6
9:11 AM,6,56
9:15 AM,6,7
9:26 AM,6,1
9:36 AM,6,6
9:39 AM,6,59
9:42 AM,6,52
9:45 AM,6,61
9:53 AM,6,1
10:02 AM,6,52
10:06 AM,6,16
10:09 AM,6,54
10:11 AM,6,6
10:15 AM,6,56
10:19 AM,6,7
10:30 AM,6,1
10:40 AM,6,6
10:43 AM,6,59
10:46 AM,6,52
10:49 AM,6,61
10:57 AM,6,1
11:06 AM,6,52
11:10 AM,6,16
11:13 AM,6,54
11:15 AM,6,6
11:19 AM,6,56
11:23 AM,6,7
11:34 AM,6,1
11:44 AM,6,6
11:47 AM,6,59
11:50 AM,6,52
11:53 AM,6,61
12:16 AM,6,1
12:25 AM,6,52
12:29 AM,6,16
12:32 AM,6,54
12:34 AM,6,6
12:38 AM,6,56
12:42 AM,6,7
12:53 AM,6,1
1:03 PM,6,6
1:06 PM,6,59
1:09 PM,6,52
1:12 PM,6,61
1:20 PM,6,1
1:29 PM,6,52
1:33 PM,6,16
1:36 PM,6,54
1:38 PM,6,6
1:42 PM,6,56
1:46 PM,6,7
1:57 PM,6,1
2:07 PM,6,6
2:10 PM,6,59
2:13 PM,6,52
2:19 PM,6,61
2:27 PM,6,1
2:36 PM,6,52
2:40 PM,6,16
2:43 PM,6,54
2:45 PM,6,6
2:49 PM,6,56
2:53 PM,6,7
3:04 PM,6,1
3:14 PM,6,6
3:17 PM,6,59
3:20 PM,6,52
3:23 PM,6,61
3:31 PM,6,1
3:40 PM,6,52
3:44 PM,6,16
3:47 PM,6,54
3:49 PM,6,6
3:53 PM,6,56
3:57 PM,6,7
4:23 PM,6,1
4:33 PM,6,6
4:36 PM,6,59
4:39 PM,6,52
4:42 PM,6,61
4:50 PM,6,1
4:59 PM,6,52
5:03 PM,6,16
5:06 PM,6,54
5:08 PM,6,6
5:12 PM,6,56
5:16 PM,6,7
5:27 PM,6,1
5:37 PM,6,6
5:40 PM,6,59
5:43 PM,6,52
5:46 PM,6,61
5:54 PM,6,1
6:03 PM,6,52
6:07 PM,6,16
6:10 PM,6,54
6:12 PM,6,6
